"Start","End","ticker_symbol","ticker_price","ticker_compname","ticker_min","ticker_max","ticker_fct"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CYD","1.625","CHINA YUCHAI INTERNATIONAL LTD","1.1875","1.5","1.263157894736842"
"09.01.2000 1:0:0","29.01.2000 1:0:0","II","0.5625","INTERSYSTEMS INC NEW","0.5","0.625","1.25"
"09.01.2000 1:0:0","29.01.2000 1:0:0","NR","5.75","NEWPARK RESOURCES INC","5.125","6.25","1.2195121951219512"
"09.01.2000 1:0:0","29.01.2000 1:0:0","FSII","13.125","F S I INTERNATIONAL INC","11.125","13.4375","1.2078651685393258"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TGAL","7.53125","TEGAL CORP","7.0625","9.0","1.2743362831858407"
"09.01.2000 1:0:0","29.01.2000 1:0:0","VECO","38.375","VEECO INSTRUMENTS INC DEL","37.0","46.98438","1.269848108108108"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CVCI","11.5","C V C INC","9.375","11.3125","1.2066666666666668"
"09.01.2000 1:0:0","29.01.2000 1:0:0","OUSA","0.9375","OMNI U S A INC","0.9375","1.1875","1.2666666666666666"
"09.01.2000 1:0:0","29.01.2000 1:0:0","AESP","3.0625","ADVANCED ELECTRONIC SUP PROD INC","1.65625","3.28125","1.9811320754716981"
"09.01.2000 1:0:0","29.01.2000 1:0:0","APEX","36.75","APEX INC","29.625","36.0","1.2151898734177216"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ADSP","8.5","ARIEL CORP","7.375","9.75","1.3220338983050848"
"09.01.2000 1:0:0","29.01.2000 1:0:0","ASPX","7.6875","AUSPEX SYSTEMS INC","7.625","10.125","1.3278688524590163"
"09.01.2000 1:0:0","29.01.2000 1:0:0","TTE","3.875","AUTOTOTE CORP","3.25","4.0625","1.25"
"09.01.2000 1:0:0","29.01.2000 1:0:0","BWSI","12.75","BLUE WAVE SYSTEMS INC","9.5625","13.25","1.3856209150326797"
"09.01.2000 1:0:0","29.01.2000 1:0:0","BND","13.5","BOUNDLESS CORP","9.875","14.0","1.4177215189873418"
"09.01.2000 1:0:0","29.01.2000 1:0:0","CRDS","69.0","CROSSROADS SYSTEMS INC","66.125","79.625","1.2041587901701323"
"09.01.2000 1:0:0","29.01.2000 1:0:0","FVCX","9.84375","F V C COM INC","9.25","11.5625","1.25"
"09.01.2000 1:0:0","29.01.2000 1:0:0","GTW","64.125","GATEWAY INC","55.0","69.375","1.2613636363636365"
"09.01.2000 1:0:0","29.01.2000 1:0:0","GBND","9.4375","GENERAL BINDING CORP","9.5","11.625","1.2236842105263157"
"09.01.2000 1:0:0","29.01.2000 1:0:0","GSPN","100.0","GLOBESPAN INC","74.25","95.875","1.2912457912457913"
"09.01.2000 1:0:0","29.01.2000 1:0:0","HOWT","2.8125","HOWTEK INC","2.0625","2.625","1.2727272727272727"
"09.01.2000 1:0:0","29.01.2000 1:0:0","IMSG","1.34375","IMAGE SYSTEMS CORP","1.0","1.5","1.5"
"09.01.2000 1:0:0","29.01.2000 1:0:0","IONN","22.625","ION NETWORKS INC","19.375","23.5","1.2129032258064516"
"09.01.2000 1:0:0","29.01.2000 1:0:0","MILT","0.9375","MILTOPE GROUP INC","0.75","0.9375","1.25"
